Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Quantity,Unit Price,Extended Price,Description
CC0402JRX7R9BB332,Yageo,311-3769-1-ND,1,0.09,0.09 €,CAP CER 3300PF 50V X7R 0402
GRM21BR61E226ME44K,Murata Electronics,490-14661-1-ND,2,0.49,0.98 €,CAP CER 22UF 25V X5R 0805
CC0402ZRY5V7BB104,Yageo,311-1047-1-ND,3,0.09,0.27 €,CAP CER 0.1UF 16V Y5V 0402
XZMDK68W-2,SunLED,1497-1174-1-ND,1,0.39,0.39 €,LED RED CLEAR CHIP SMD
XZVG68W-2,SunLED,1497-1219-1-ND,1,0.45,0.45 €,LED GREEN CLEAR CHIP SMD
LMZ21701SILT,Texas Instruments,296-38545-1-ND,1,4.26,4.26 €,DC DC CONVERTER 0.9-6V 6W
1050170001,Molex,WM1399CT-ND,1,0.83,0.83 €,CONN RCPT USB2.0 MICRO B SMD R/A
TXS0102DCTR,Texas Instruments,296-21978-1-ND,1,0.51,0.51 €,IC TRNSLTR BIDIRECTIONAL SM8
NUP2202W1T2G,ON Semiconductor,NUP2202W1T2GOSCT-ND,1,0.52,0.52 €,TVS DIODE 5V 20V SC88
FT230XS-R,"FTDI, Future Technology Devices International Ltd",768-1135-1-ND,1,1.85,1.85 €,IC USB SERIAL BASIC UART 16SSOP
RC0402JR-0756RL,Yageo,311-56JRCT-ND,2,0.09,0.18 €,RES SMD 56 OHM 5% 1/16W 0402
RT0402FRE0710KL,Yageo,YAG1233CT-ND,1,0.09,0.09 €,RES SMD 10K OHM 1% 1/16W 0402
RC0402FR-07232KL,Yageo,YAG3062CT-ND,1,0.09,"0,09 €",RES SMD 232K OHM 1% 1/16W 0402
RC0402FR-0744K2L,Yageo,YAG3163CT-ND,1,0.09,0.09 €,RES SMD 44.2K OHM 1% 1/16W 0402
BAT54C-7-F,Diodes Incorporated,BAT54C-FDICT-ND,1,0.17,0.17 €,DIODE ARRAY SCHOTTKY 30V SOT23-3
MD-80SM,CUI Devices,CP-2280-ND,1,1.87,1.87 €,CONN RCPT FMALE MINI DIN 8P SLDR
GRM155R60J475ME47D,Murata Electronics,490-5915-1-ND,1,0.099,0.99 €,CAP CER 4.7UF 6.3V X5R 0402
PPTC202LFBN-RC,Sullins Connector Solutions,S6104-ND,1,2.03,2.03 €,CONN HDR 40POS 0.1 TIN PCB
